country,scenario,year,variable,value
CZ,3_no_pol_ep_low_pef,START,Primary energy factor,3.1536689
CZ,4_low_pol_co2_75,START,Primary energy factor,3.1536689
CZ,5_low_pol_co2_75_low_pef,2030,Primary energy factor,2.5721784
CZ,5_low_pol_co2_75_low_pef,2033,Primary energy factor,2.378348
CZ,5_low_pol_co2_75_low_pef,2035,Primary energy factor,2.2491279
CZ,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.9260776
CZ,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.279977
CZ,5_low_pol_co2_75_low_pef,START,Primary energy factor,3.1536689
CZ,6_co2_300,START,Primary energy factor,3.1536689
CZ,7_co2_300_low_pef,2030,Primary energy factor,2.5721784
CZ,7_co2_300_low_pef,2033,Primary energy factor,2.378348
CZ,7_co2_300_low_pef,2035,Primary energy factor,2.2491279
CZ,7_co2_300_low_pef,2040,Primary energy factor,1.9260776
CZ,7_co2_300_low_pef,2045,Primary energy factor,1.279977
CZ,7_co2_300_low_pef,START,Primary energy factor,3.1536689
CZ,8_nofoss_co2_75,START,Primary energy factor,3.1536689
CZ,9_nofoss_co2_75_low_pef,2030,Primary energy factor,2.5721784
CZ,9_nofoss_co2_75_low_pef,2033,Primary energy factor,2.378348
CZ,9_nofoss_co2_75_low_pef,2035,Primary energy factor,2.2491279
CZ,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.9260776
CZ,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.279977
CZ,9_nofoss_co2_75_low_pef,START,Primary energy factor,3.1536689
DE,0_no_pol_cep,START,Primary energy factor,1.3469805
DE,1_no_pol_cep_low_pef,2030,Primary energy factor,1.3469805
DE,1_no_pol_cep_low_pef,2033,Primary energy factor,1.3469805
DE,1_no_pol_cep_low_pef,2035,Primary energy factor,1.3469805
DE,1_no_pol_cep_low_pef,2040,Primary energy factor,1.3469805
DE,1_no_pol_cep_low_pef,2045,Primary energy factor,1.3469805
DE,1_no_pol_cep_low_pef,START,Primary energy factor,1.3469805
DE,2_no_pol_ep,START,Primary energy factor,1.3469805
DE,3_no_pol_ep_low_pef,2030,Primary energy factor,1.3469805
DE,3_no_pol_ep_low_pef,2033,Primary energy factor,1.3469805
DE,3_no_pol_ep_low_pef,2035,Primary energy factor,1.3469805
DE,3_no_pol_ep_low_pef,2040,Primary energy factor,1.3469805
DE,3_no_pol_ep_low_pef,2045,Primary energy factor,1.3469805
DE,3_no_pol_ep_low_pef,START,Primary energy factor,1.3469805
DE,4_low_pol_co2_75,START,Primary energy factor,1.3469805
DE,5_low_pol_co2_75_low_pef,2030,Primary energy factor,1.3469805
DE,5_low_pol_co2_75_low_pef,2033,Primary energy factor,1.3469805
DE,5_low_pol_co2_75_low_pef,2035,Primary energy factor,1.3469805
DE,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.3469805
DE,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.3469805
DE,5_low_pol_co2_75_low_pef,START,Primary energy factor,1.3469805
DE,6_co2_300,START,Primary energy factor,1.3469805
DE,7_co2_300_low_pef,2030,Primary energy factor,1.3469805
DE,7_co2_300_low_pef,2033,Primary energy factor,1.3469805
DE,7_co2_300_low_pef,2035,Primary energy factor,1.3469805
DE,7_co2_300_low_pef,2040,Primary energy factor,1.3469805
DE,7_co2_300_low_pef,2045,Primary energy factor,1.3469805
DE,7_co2_300_low_pef,START,Primary energy factor,1.3469805
DE,8_nofoss_co2_75,START,Primary energy factor,1.3469805
