country,scenario,pef_assumption,year,type,data_type_id,unit_id,portion,value,service_factor
Finland,Economics,decreasing,2025,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,89.62656873376179,area-scaled PED_excl_sf
Finland,Economics,decreasing,2025,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,287.3512990780049,area-scaled PED_excl_sf
Finland,Economics,decreasing,2025,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.09772845619367543,area-scaled PED_excl_sf
Finland,Economics,decreasing,2025,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,-0.07529393830021046,area-scaled PED_excl_sf
Finland,Economics,decreasing,2025,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.9775654821065352,area-scaled PED_excl_sf
Finland,Economics,decreasing,2026,PED,PED_excl_sf,GWh/yr,WPBs,55961.3798208813,excl. service factor
Finland,Economics,decreasing,2026,PED,PED_excl_sf,GWh/yr,other,27206.51577085454,excl. service factor
Finland,Economics,decreasing,2026,PED,PED_excl_sf,GWh/yr,total,83167.89559173584,excl. service factor
Finland,Economics,decreasing,2026,PED share,PED_excl_sf,-,WPB reduction,0.1126573005325527,excl. service factor
Finland,Economics,decreasing,2026,PED share,PED_excl_sf,-,other reduction,-0.0901505151425196,excl. service factor
Finland,Economics,decreasing,2026,PED share,PED_excl_sf,-,remainder,0.977493214609967,excl. service factor
Finland,Economics,decreasing,2026,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,191.9857650382901,area-scaled PED_excl_sf
Finland,Economics,decreasing,2026,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,93.33693631236764,area-scaled PED_excl_sf
Finland,Economics,decreasing,2026,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,285.3227013506577,area-scaled PED_excl_sf
Finland,Economics,decreasing,2026,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.1172523435194248,area-scaled PED_excl_sf
Finland,Economics,decreasing,2026,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,-0.08791656183596717,area-scaled PED_excl_sf
